node,document_type,count
node-142,settlement_accepted,2
node-142,settlement_prepared,2
node-143,mail_delivery_receipt,17
node-143,mail_receive_receipt,21
node-144,mail_delivery_receipt,16
node-144,mail_receive_receipt,18
node-144,settlement_accepted,1
node-144,settlement_prepared,1
node-145,mail_delivery_receipt,23
node-145,mail_receive_receipt,27
node-145,settlement_accepted,1
node-145,settlement_prepared,1
node-146,mail_delivery_receipt,29
node-146,mail_receive_receipt,28
node-146,settlement_accepted,1
node-146,settlement_prepared,1
node-147,mail_delivery_receipt,39
node-147,mail_receive_receipt,21
node-147,settlement_accepted,1
node-147,settlement_prepared,1
node-148,mail_delivery_receipt,28
node-148,mail_receive_receipt,29
node-148,settlement_accepted,2
node-148,settlement_prepared,2
node-149,mail_delivery_receipt,12
node-149,mail_receive_receipt,22
node-150,mail_delivery_receipt,16
node-150,mail_receive_receipt,32
